,overall,km3_1,km3_2,km3_3,kmk4_1,km4_2,km4_3,km4_4,kmk5_1,km5_2,km5_3,km5_4,km5_5,kmk6_1,km6_2,km6_3,km6_4,km6_5,km6_6,kmk7_1,km7_2,km7_3,km7_4,km7_5,km7_6,km7_7,kmk8_1,km8_2,km8_3,km8_4,km8_5,km8_6,km8_7,km8_8
callcard,0.678,0.6112084063047285,0.9292035398230089,0.5862068965517241,0.5841584158415841,0.609009009009009,0.923469387755102,0.8723404255319149,0.5841584158415841,0.6178010471204188,0.6666666666666666,0.8723404255319149,0.9183673469387755,0.5862068965517241,0.8723404255319149,0.6590909090909091,0.9326923076923077,0.6237623762376238,0.6696428571428571,0.5882352941176471,0.9538461538461539,0.6439024390243903,0.8983050847457628,0.5747126436781609,0.5966850828729282,0.8723404255319149,0.9032258064516129,0.5789473684210527,0.7165354330708661,0.9557522123893806,0.593939393939394,0.8723404255319149,0.5747126436781609,0.6028368794326241
wireless,0.296,0.3327495621716287,0.37610619469026546,0.10344827586206896,0.10396039603960396,0.33693693693693694,0.3979591836734694,0.2127659574468085,0.10396039603960396,0.3612565445026178,0.3063063063063063,0.2127659574468085,0.4013605442176871,0.10837438423645321,0.2127659574468085,0.37272727272727274,0.41346153846153844,0.3465346534653465,0.3080357142857143,0.10784313725490197,0.5615384615384615,0.35609756097560974,0.3389830508474576,0.3045977011494253,0.24861878453038674,0.2127659574468085,0.3387096774193548,0.22807017543859648,0.4094488188976378,0.5663716814159292,0.2545454545454545,0.2127659574468085,0.3045977011494253,0.10638297872340426
multline,0.475,0.24168126094570927,0.5929203539823009,1.0,1.0,0.24324324324324326,0.576530612244898,0.5319148936170213,1.0,0.27486910994764396,0.25675675675675674,0.5319148936170213,0.5850340136054422,1.0,0.5319148936170213,0.3181818181818182,0.6057692307692307,0.27722772277227725,0.25892857142857145,1.0,0.8846153846153846,0.2634146341463415,0.423728813559322,0.16666666666666666,0.1270718232044199,0.5319148936170213,0.43548387096774194,0.09941520467836257,1.0,0.831858407079646,0.09090909090909091,0.5319148936170213,0.16666666666666666,1.0
voice,0.304,0.34851138353765326,0.3495575221238938,0.12807881773399016,0.12871287128712872,0.35495495495495494,0.3673469387755102,0.19148936170212766,0.12871287128712872,0.3507853403141361,0.34234234234234234,0.19148936170212766,0.4013605442176871,0.12807881773399016,0.19148936170212766,0.32727272727272727,0.4326923076923077,0.3712871287128713,0.34375,0.12745098039215685,0.5384615384615384,0.3121951219512195,0.4067796610169492,0.3333333333333333,0.292817679558011,0.19148936170212766,0.4032258064516129,0.27485380116959063,0.33858267716535434,0.5663716814159292,0.23030303030303031,0.19148936170212766,0.3333333333333333,0.14184397163120568
pager,0.261,0.29597197898423816,0.34513274336283184,0.06896551724137931,0.06435643564356436,0.3009009009009009,0.37755102040816324,0.14893617021276595,0.06435643564356436,0.31413612565445026,0.2882882882882883,0.14893617021276595,0.3877551020408163,0.06896551724137931,0.14893617021276595,0.32727272727272727,0.41346153846153844,0.297029702970297,0.29017857142857145,0.07352941176470588,0.46153846153846156,0.3170731707317073,0.3559322033898305,0.27011494252873564,0.2541436464088398,0.14893617021276595,0.3548387096774194,0.23976608187134502,0.33070866141732286,0.4690265486725664,0.22424242424242424,0.14893617021276595,0.27011494252873564,0.0851063829787234
internet,0.368,0.36777583187390545,0.2345132743362832,0.5172413793103449,0.5198019801980198,0.36936936936936937,0.27040816326530615,0.10638297872340426,0.5198019801980198,0.36649214659685864,0.36486486486486486,0.10638297872340426,0.25170068027210885,0.5221674876847291,0.10638297872340426,0.31363636363636366,0.2692307692307692,0.3910891089108911,0.36160714285714285,0.5196078431372549,0.36923076923076925,0.3170731707317073,0.23728813559322035,0.3735632183908046,0.35911602209944754,0.10638297872340426,0.24193548387096775,0.34502923976608185,0.4645669291338583,0.415929203539823,0.24242424242424243,0.10638297872340426,0.3735632183908046,0.5531914893617021
callid,0.481,0.5411558669001751,0.7035398230088495,0.06403940886699508,0.06435643564356436,0.5405405405405406,0.7244897959183674,0.5531914893617021,0.06435643564356436,0.5471204188481675,0.5540540540540541,0.5531914893617021,0.7482993197278912,0.06896551724137931,0.5531914893617021,0.5681818181818182,0.7692307692307693,0.5544554455445545,0.5535714285714286,0.06862745098039216,0.7923076923076923,0.5414634146341464,0.7457627118644068,0.5229885057471264,0.5082872928176796,0.5531914893617021,0.7580645161290323,0.5029239766081871,0.4566929133858268,0.7610619469026548,0.4727272727272727,0.5531914893617021,0.5229885057471264,0.06382978723404255
callwait,0.485,0.5341506129597198,0.7168141592920354,0.08866995073891626,0.0891089108910891,0.5315315315315315,0.7346938775510204,0.5957446808510638,0.0891089108910891,0.5418848167539267,0.5495495495495496,0.5957446808510638,0.7482993197278912,0.08866995073891626,0.5957446808510638,0.5590909090909091,0.7307692307692307,0.5742574257425742,0.5535714285714286,0.08823529411764706,0.8307692307692308,0.526829268292683,0.6949152542372882,0.5229885057471264,0.5027624309392266,0.5957446808510638,0.6935483870967742,0.49707602339181284,0.4881889763779528,0.7964601769911505,0.44242424242424244,0.5957446808510638,0.5229885057471264,0.09219858156028368
forward,0.493,0.5481611208406305,0.7168141592920354,0.08866995073891626,0.0891089108910891,0.5477477477477477,0.7346938775510204,0.574468085106383,0.0891089108910891,0.5497382198952879,0.5765765765765766,0.574468085106383,0.7482993197278912,0.08866995073891626,0.574468085106383,0.5636363636363636,0.7692307692307693,0.5643564356435643,0.5803571428571429,0.08823529411764706,0.8076923076923077,0.5365853658536586,0.7288135593220338,0.5402298850574713,0.5303867403314917,0.574468085106383,0.7419354838709677,0.5146198830409356,0.4645669291338583,0.7876106194690266,0.4727272727272727,0.574468085106383,0.5402298850574713,0.0851063829787234
confer,0.502,0.5359019264448336,0.7654867256637168,0.11330049261083744,0.11386138613861387,0.5351351351351351,0.7755102040816326,0.6382978723404256,0.11386138613861387,0.5445026178010471,0.5540540540540541,0.6382978723404256,0.8027210884353742,0.11330049261083744,0.6382978723404256,0.5727272727272728,0.7980769230769231,0.5693069306930693,0.5580357142857143,0.11274509803921569,0.9,0.5414634146341464,0.7457627118644068,0.5057471264367817,0.49171270718232046,0.6382978723404256,0.7258064516129032,0.4853801169590643,0.4881889763779528,0.8849557522123894,0.48484848484848486,0.6382978723404256,0.5057471264367817,0.09929078014184398
